# cycle i_ni i_router o_ni o_router vnet flit
265 17 17 20 2 0 8
265 8 8 33 15 0 8
265 8 8 30 12 1 8
265 12 12 33 15 0 8
265 15 15 19 1 0 8
265 15 15 19 1 1 8
265 1 1 25 7 0 8
265 7 7 28 10 0 8
265 7 7 28 10 1 8
265 10 10 21 3 0 8
265 10 10 29 11 1 8
265 3 3 29 11 0 8
273 13 13 18 0 0 8
273 13 13 24 6 1 8
273 0 0 24 6 0 8
273 6 6 23 5 0 8
273 6 6 34 16 1 8
273 16 16 23 5 0 8
273 5 5 27 9 0 8
273 9 9 20 2 0 8
273 9 9 32 14 1 8
273 14 14 20 2 0 8
273 2 2 35 17 0 8
273 2 2 26 8 1 8
273 17 17 20 2 0 8
273 8 8 33 15 0 8
273 8 8 30 12 1 8
273 12 12 33 15 0 8
273 15 15 19 1 0 8
273 15 15 19 1 1 8
273 1 1 25 7 0 8
273 7 7 28 10 0 8
273 7 7 28 10 1 8
273 10 10 21 3 0 8
273 10 10 29 11 1 8
273 3 3 29 11 0 8
281 13 13 18 0 0 8
281 13 13 24 6 1 8
281 0 0 24 6 0 8
281 6 6 23 5 0 8
281 6 6 34 16 1 8
281 16 16 23 5 0 8
281 5 5 27 9 0 8
281 9 9 20 2 0 8
281 9 9 32 14 1 8
281 14 14 20 2 0 8
281 2 2 35 17 0 8
281 2 2 26 8 1 8
281 17 17 20 2 0 8
281 8 8 33 15 0 8
281 8 8 30 12 1 8
281 12 12 33 15 0 8
281 15 15 19 1 0 8
281 15 15 19 1 1 8
281 1 1 25 7 0 8
281 7 7 28 10 0 8
281 7 7 28 10 1 8
281 10 10 21 3 0 8
281 10 10 29 11 1 8
281 3 3 29 11 0 8
289 13 13 18 0 0 8
289 13 13 24 6 1 8
289 0 0 24 6 0 8
289 6 6 23 5 0 8
289 6 6 34 16 1 8
289 16 16 23 5 0 8
289 5 5 27 9 0 8
289 9 9 20 2 0 8
289 9 9 32 14 1 8
289 14 14 20 2 0 8
289 2 2 35 17 0 8
289 2 2 26 8 1 8
289 17 17 20 2 0 8
289 8 8 33 15 0 8
